frame,u,v,X,Y,theta_deg
0,1785,2084,766.3465786054571,-144.37442320369155,169.3150863647461
1,1797,2083,779.3392161108707,-143.27576356844656,170.08724212646484
2,1808,2082,791.2491338241666,-142.17710393320158,170.36246490478516
3,1818,2081,802.0763317453445,-141.0784442979566,170.2001495361328
4,1829,2079,813.9862494586403,-138.88112502746662,170.18070220947266
5,1839,2078,824.8134473798184,-137.78246539222164,170.2001495361328
6,1849,2078,835.6406453009963,-137.78246539222164,170.27242279052734
7,1860,2076,847.5505630142923,-135.58514612173167,169.50852966308594
8,1871,2075,859.460480727588,-134.48648648648668,170.08724212646484
9,1882,2074,871.3703984408837,-133.3878268512417,169.4126739501953
10,1893,2072,883.2803161541794,-131.19050758075173,169.6026611328125
11,1903,2072,894.1075140753576,-131.19050758075173,169.8379135131836
12,1914,2071,906.0174317886533,-130.09184794550674,169.9920196533203
13,1925,2070,917.927349501949,-128.99318831026176,170.45086669921875
14,1935,2068,928.7545474231272,-126.79586903977179,170.1120147705078
15,1946,2068,940.6644651364229,-126.79586903977179,170.36246490478516
16,1957,2067,952.5743828497186,-125.6972094045268,170.2001495361328
17,1967,2066,963.4015807708968,-124.59854976928182,169.69515228271484
18,1978,2064,975.3114984841925,-122.40123049879185,170.2001495361328
19,1989,2062,987.2214161974882,-120.20391122830142,170.36246490478516
20,1999,2061,998.0486141186664,-119.10525159305644,170.45086669921875
21,2009,2060,1008.8758120398445,-118.00659195781145,170.7066879272461
22,2019,2059,1019.7030099610222,-116.90793232256647,170.36246490478516
23,2031,2058,1032.695647466436,-115.80927268732148,170.18070220947266
24,2042,2056,1044.6055651797317,-113.61195341683151,170.18070220947266
25,2052,2054,1055.4327631009098,-111.41463414634154,170.18070220947266
26,2063,2053,1067.3426808142056,-110.31597451109656,169.50852966308594
27,2074,2052,1079.2525985275013,-109.21731487585157,170.1120147705078
28,2084,2051,1090.0797964486794,-108.11865524060659,170.45086669921875
29,2095,2050,1101.9897141619751,-107.0199956053616,170.18070220947266
30,2106,2049,1113.8996318752709,-105.92133597011662,170.36246490478516
31,2116,2048,1124.726829796449,-104.82267633487163,169.9920196533203
32,2127,2046,1136.6367475097447,-102.62535706438166,170.13418579101562
33,2137,2045,1147.4639454309229,-101.52669742913668,169.9920196533203
34,2148,2044,1159.3738631442186,-100.42803779389169,170.02228546142578
35,2158,2043,1170.2010610653967,-99.3293781586467,169.3803482055664
36,2170,2041,1183.19369857081,-97.13205888815673,170.5376739501953
37,2181,2039,1195.1036162841058,-94.93473961766676,169.6466827392578
38,2191,2037,1205.930814205284,-92.7374203471768,169.87532806396484
39,2203,2036,1218.9234517106977,-91.63876071193181,169.61113739013672
40,2213,2034,1229.7506496318754,-89.44144144144184,169.80850219726562
41,2223,2033,1240.5778475530535,-88.3427818061964,170.27242279052734
42,2234,2031,1252.4877652663492,-86.14546253570643,169.69515228271484
43,2245,2029,1264.397682979645,-83.94814326521646,169.4608154296875
44,2256,2026,1276.3076006929412,-80.6521643594815,169.33966064453125
45,2267,2025,1288.2175184062369,-79.55350472423652,169.4608154296875
46,2277,2025,1299.0447163274146,-79.55350472423652,169.44818878173828
47,2288,2024,1310.9546340407107,-78.45484508899153,169.11447143554688
48,2299,2023,1322.8645517540065,-77.35618545374655,169.44818878173828
49,2309,2021,1333.6917496751842,-75.15886618325658,169.3150863647461
50,2321,2020,1346.684387180598,-74.06020654801159,169.11447143554688
51,2332,2019,1358.5943048938936,-72.96154691276661,170.5376739501953
52,2344,2018,1371.5869423993074,-71.86288727752162,169.50852966308594
53,2354,2015,1382.4141403204856,-68.56690837178667,170.34010314941406
54,2365,2015,1394.3240580337813,-68.56690837178667,170.2001495361328
55,2375,2013,1405.151255954959,-66.3695891012967,170.02228546142578
56,2386,2011,1417.0611736682552,-64.17226983080673,169.11447143554688
57,2397,2009,1428.9710913815509,-61.974950560316756,169.3150863647461
58,2408,2007,1440.8810090948466,-59.777631289826786,169.3150863647461
59,2419,2005,1452.7909268081423,-57.58031201933636,169.11447143554688
60,2430,2005,1464.700844521438,-57.58031201933636,169.93093872070312
61,2441,2003,1476.6107622347338,-55.38299274884639,169.19176483154297
62,2451,2002,1487.437960155912,-54.284333113601406,169.11447143554688
63,2463,2001,1500.4305976613257,-53.18567347835642,169.6466827392578
64,2474,1999,1512.3405153746214,-50.98835420786645,169.9920196533203
65,2484,1997,1523.1677132957996,-48.79103493737648,169.11447143554688
66,2495,1997,1535.0776310090953,-48.79103493737648,169.7431869506836
67,2505,1995,1545.904828930273,-46.59371566688651,170.27242279052734
68,2516,1993,1557.8147466435692,-44.39639639639654,169.11447143554688
69,2527,1991,1569.7246643568649,-42.19907712590657,169.2156982421875
70,2538,1990,1581.6345820701606,-41.100417490661584,169.8379135131836
71,2548,1989,1592.4617799913387,-40.0017578554166,170.04937744140625
72,2560,1987,1605.454417496752,-37.80443858492663,169.4608154296875
73,2571,1986,1617.3643352100478,-36.705778949681644,169.2156982421875
74,2582,1984,1629.274252923344,-34.508459679191674,168.69007110595703
75,2594,1981,1642.2668904287573,-31.21248077345672,169.69515228271484
76,2605,1979,1654.176808142053,-29.01516150296675,168.69007110595703
77,2616,1977,1666.0867258553492,-26.817842232476778,168.92979431152344
78,2626,1976,1676.9139237765269,-25.719182597231338,168.69007110595703
79,2637,1975,1688.8238414898226,-24.620522961986353,168.3814697265625
80,2647,1974,1699.6510394110007,-23.521863326741368,167.9052505493164
81,2658,1971,1711.5609571242965,-20.225884421006413,168.29356384277344
82,2669,1969,1723.4708748375922,-18.028565150516442,168.88695526123047
83,2679,1966,1734.2980727587703,-14.732586244781487,167.47119140625
84,2689,1964,1745.1252706799485,-12.535266974291517,167.69197845458984
85,2700,1963,1757.0351883932442,-11.436607339046532,167.69197845458984
86,2709,1961,1766.7796665223043,-9.239288068556561,167.69197845458984
87,2721,1958,1779.772304027718,-5.943309162821606,167.19573211669922
88,2732,1955,1791.6822217410138,-2.647330257086651,167.31961059570312
89,2742,1954,1802.509419662192,-1.5486706218416657,166.96664428710938
90,2752,1953,1813.3366175833696,-0.4500109865966806,167.90524291992188
91,2763,1951,1825.2465352966658,1.7473082838932896,167.57405853271484
92,2773,1949,1836.0737332178435,3.94462755438326,166.93067932128906
93,2784,1945,1847.9836509311392,8.339266095363655,167.11181640625
94,2794,1942,1858.8108488523173,11.63524500109861,166.96664428710938
95,2805,1939,1870.720766565613,14.931223906833566,165.96376037597656
96,2815,1937,1881.5479644867912,17.128543177323536,166.67547607421875
97,2825,1935,1892.3751624079694,19.325862447813506,166.41400909423828
98,2835,1932,1903.202360329147,22.62184135354846,166.09222412109375
99,2845,1929,1914.0295582503252,25.917820259283417,165.96376037597656
100,2856,1926,1925.939475963621,29.213799165018372,165.70967864990234
101,2867,1923,1937.8493936769166,32.50977807075333,165.46554565429688
102,2877,1921,1948.6765915980948,34.7070973412433,165.46554565429688
103,2888,1918,1960.5865093113905,38.00307624697871,165.20323944091797
104,2898,1916,1971.4137072325686,40.20039551746868,164.96956634521484
105,2908,1914,1982.2409051537468,42.39771478795865,165.00492095947266
106,2919,1911,1994.1508228670425,45.693693693693604,163.90918731689453
107,2929,1907,2004.9780207882202,50.088332234673544,164.05460357666016
108,2939,1902,2015.8052187093983,55.58163041089847,164.9084243774414
